"","id","converted_sample_01.fasta.fq_kallisto","converted_sample_02.fasta.fq_kallisto","converted_sample_03.fasta.fq_kallisto","converted_sample_04.fasta.fq_kallisto","converted_sample_05.fasta.fq_kallisto","converted_sample_06.fasta.fq_kallisto","converted_sample_07.fasta.fq_kallisto","converted_sample_08.fasta.fq_kallisto","converted_sample_09.fasta.fq_kallisto","converted_sample_10.fasta.fq_kallisto","converted_sample_11.fasta.fq_kallisto","converted_sample_12.fasta.fq_kallisto","converted_sample_13.fasta.fq_kallisto","converted_sample_14.fasta.fq_kallisto","converted_sample_15.fasta.fq_kallisto","converted_sample_16.fasta.fq_kallisto"
"108339","ENST00000401419.7",222.26,192.642,279.431,216.453,236.201,252.969,226.32,180.975,276.575,215.415,223.011,232.99,183.904,168.655,232.353,249.17
"108340","ENST00000404802.7",178.011,263.612,218.413,164.702,224.63,208.295,128.909,259.175,186.595,247.027,208.14,104.157,179.031,255.928,120.677,319.575
"108341","ENST00000341116.7",92.7618,29.6343,79.2815,84.5364,67.094,48.8234,84.3714,67.9228,67.2464,42.5524,84.8383,117.373,116.674,0,32.8857,16.5902
"108342","ENST00000429360.5",412.049,356.999,221.294,382.184,340.965,352.832,298.65,323.852,343.629,256.573,351.047,360.991,358.316,364.555,403.01,308.129
"108343","ENST00000404393.5",0,0,0,0,0,5.16156,0,0,0,0,0,0,0,0,0,0
"108344","ENST00000485587.1",0,0,1.29249,0,0,0,0,0,0,1.23647,0,1.23894,0,0,0,0
"108345","ENST00000397225.2",6.08347,9.1122,12.3385,12.1243,6.10985,14.9193,11.7493,21.0757,8.95485,6.19674,11.9625,9.25052,12.075,2.86122,15.0738,6.10977
"108346","ENST00000628507.1",3.19469,0,0,0,0,0,2.06858e-08,0,0,0,0,0,0,0,0,5.06426
"108422","ENST00000327555.5",238.508,232.886,244.649,205.541,265.382,211.034,221.054,236.073,717.092,782.858,647.083,723.493,614.887,755.4,635.598,712.42
"108425","ENST00000290429.10",852.492,993.114,968.351,959.459,1024.62,853.966,1003.95,978.927,2283.91,2271.14,2310.92,2205.51,2189.11,1975.6,2203.4,2207.58
"108667","ENST00000643195.1",61.1663,41.091,18.8439,130.273,12.3408,0.245873,81.9984,0.128764,72.3339,4.82508,0.105882,7.78447e-06,123.384,41.2779,88.6931,9.51398
"108668","ENST00000252835.5",132.797,110.909,155.156,88.7273,154.94,142.031,110.909,220.681,66.5455,175.175,141.197,193.676,88.7273,110.909,110.21,154.908
"108747","ENST00000374518.5",0,1.01575,0,0,0,3.24076,0,1.0182,0,0,0,0,0,0,0,0
"108792","ENST00000334660.9",1.11352,1.11352,3.34056,0,6.68113,4.45409,3.4273,5.20446,2.08178,0,1.04195,3.49669,1,3.34056,0,5.56761
"108815","ENST00000253692.11",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
